Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,a,0,0,0,0,33970000000.0,34930000000.0,49.63,30.4,2.95,6.58,6.82,6.69,29.65,13.23,19.38,6.96,14.21,5220000000.0,16.92,-1.0,2810000000.0,1320000000.0,691000000.0,2.21,4.2,1360000000.0,4.41,2510000000.0,50.35,2.47,16.14,858000000.0,755500000.0,1.03,105.82,95.61,1250000.0,308310000.0,307220000.0,0.36,89.84,3130000.0,3.08,1.02,2620000.0
0,0,aa,0,0,0,0,3080000000.0,3880000000.0,,43.67,,0.33,0.91,0.42,6.12,-5.03,3.43,1.38,-6.76,9330000000.0,50.23,-7.9,1920000000.0,986000000.0,-469000000.0,-2.53,,1740000000.0,9.34,2690000000.0,53.64,1.76,18.26,618000000.0,765250000.0,2.27,13.49,12.41,5250000.0,185930000.0,185200000.0,0.59,77.04,10070000.0,1.72,6.06,12590000.0
0,0,aapl,0,0,0,0,995150000000.0,36.36,36.36,30.03,2.99,7.61,31.03,7.46,25.29,20.91,24.15,12.51,73.69,274519999999.99997,15.82,1.0,104960000000.0,77340000000.0,57410000000.0,3.28,-7.4,90940000000.0,5.35,122280000000.0,187.14,1.36,3.85,80670000000.0,60390000000.0,1.35,116.47,103.06,156160000.0,17100000000.000002,16980000000.0,0.07,59.73,80530000.0,0.61,0.47,88090000.0
0,0,abbv,0,0,0,0,174850000000.0,253960000000.0,21.34,8.16,,3.9,11.45,6.25,16.62,18.16,33.11,8.05,209.12,40650000000.0,25.47,52.2,25830000000.0,18370000000.0,7320000000.0,4.57,22.5,7960000000.0,4.51,87100000000.0,569.68,0.95,8.65,16010000000.000002,13840000000.0,0.69,88.72,92.25,8090000.0,1760000000.0,1740000000.0,0.1,70.07,12840000.0,1.64,0.73,12940000.0
0,0,abc,0,0,0,0,21660000000.0,21180000000.0,13.93,12.71,3.49,0.11,5.58,0.11,-4.45,-1.8,1.07,3.06,-315.71,189890000000.0,927.29,7.9,5200000000.0,2420000000.0,-3410000000.0,-16.65,,4600000000.0,22.53,4120000000.0,,0.98,-4.11,2210000000.0,1450000000.0,0.55,99.99,98.18,1130000.0,204140000.0,146730000.0,28.08,67.2,3300000.0,3.72,2.25,3200000.0
0,0,abt,0,0,0,0,199570000000.0,213400000000.0,59.89,25.58,3.54,6.23,6.36,6.62,28.04,10.5,14.29,4.19,10.57,32220000000.0,18.19,9.6,18710000000.0,7820000000.0,3350000000.0,1.89,28.3,4730000000.0,2.67,18560000000.0,58.75,1.7,17.71,6520000000.0,4670000000.0,0.89,109.12,100.26,5590000.0,1770000000.0,1760000000.0,0.7,75.43,9920000.0,2.03,0.57,9440000.0
0,0,ace,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,aci,0,0,0,0,7430000000.0,19800000000.0,9.96,9.83,1.23,0.11,4.95,0.29,4.8,1.46,3.91,6.51,36.48,68050000000.0,122.77,11.2,17590000000.0,4269999999.9999995,953500000.0,,-3.5,2400000000.0,5.08,14820000000.0,478.06,1.13,,3540000000.0,2800000000.0,,14.68,14.67,3020000.0,472650000.0,243590000.0,14.94,73.63,17710000.0,4.99,12.96,13060000.0
0,0,acn,0,0,0,0,153400000000.0,148380000000.0,30.64,30.21,3.45,3.53,9.02,3.35,17.29,11.52,14.69,12.18,32.08,44330000000.0,69.66,-2.0,13980000000.0,7240000000.0,5110000000.0,7.89,13.9,8510000000.0,13.43,3490000000.0,19.92,1.4,26.81,8220000000.000001,6590000000.0,1.06,228.8,220.03,1920000.0,635000000.0,632560000.0,0.12,74.7,5220000.0,2.99,0.82,5180000.0
0,0,act,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,adbe,0,0,0,0,225150000000.0,224610000000.0,59.11,42.19,2.24,18.36,19.22,18.06,46.81,31.05,32.1,11.75,35.17,12440000000.0,25.81,13.8,9500000000.0,4560000000.0,3860000000.0,7.94,20.4,5260000000.0,10.97,4730000000.0,40.35,1.44,24.4,5320000000.0,3990000000.0,1.02,481.98,447.65,3050000.0,479720000.0,478120000.0,0.31,86.25,4640000.0,2.07,0.97,4370000.0
0,0,adi,0,0,0,0,50360000000.0,54860000000.0,45.58,24.1,2.67,9.18,4.28,9.94,25.03,20.14,26.89,4.3,9.44,5520000000.0,14.98,-1.6,4010000000.0,2300000000.0,1110000000.0,2.99,0.1,1090000000.0,2.95,6170000000.0,52.39,1.47,31.9,1990000000.0,1580000000.0,1.3,124.38,118.33,3160000.0,369560000.0,367810000.0,0.32,94.67,24470000.0,8.2,6.64,20140000.0
0,0,adm,0,0,0,0,27740000000.0,35180000000.0,17.68,14.39,2.14,0.45,1.44,0.56,11.86,2.53,2.6,2.35,8.28,62710000000.0,111.82,-9.6,4150000000.0000005,2610000000.0,1590000000.0,2.82,-44.7,980000000.0,1.76,9280000000.0,47.77,1.64,34.75,-3330000000.0,396000000.0,0.87,49.05,43.43,3080000.0,556390000.0,554250000.0,0.39,81.86,5700000.0,1.89,1.03,9360000.0
0,0,adp,0,0,0,0,73600000000.0,74310000000.0,29.8,32.05,4.0,5.08,12.67,5.1,19.63,17.07,22.76,5.17,44.52,14560000000.0,33.89,-0.7,6510000000.0,3810000000.0,2490000000.0,5.76,3.4,1620000000.0,3.77,2420000000.0,41.67,1.08,13.53,3080000000.0,2430000000.0,0.7,154.17,145.41,2080000.0,428810000.0,427940000.0,0.11,82.31,4540000.0,2.08,1.06,5600000.0
0,0,adsk,0,0,0,0,56880000000.0,57450000000.0,159.15,49.02,1.49,16.29,845.22,16.22,93.02,10.26,15.23,6.35,,3540000000.0,16.13,14.6,2980000000.0,630300000.0,363200000.0,1.63,144.3,1520000000.0,6.93,2080000000.0,3095.39,0.84,0.31,1390000000.0,948920000.0,1.43,245.26,232.19,1490000.0,219280000.0,218940000.0,0.18,93.45,2600000.0,1.83,1.19,2080000.0
0,0,adt,0,0,0,0,6220000000.0,15480000000.0,,8.38,,1.08,1.98,2.92,8.11,-11.18,3.68,0.73,-17.29,5300000000.0,6.99,-0.1,3740000000.0,2120000000.0,-592120000.0,-0.79,,489430000.0,0.59,10200000000.0,324.96,0.94,3.8,1410000000.0,1190000000.0,2.43,7.64,8.47,3910000.0,770710000.0,167020000.0,1.05,93.47,16750000.0,5.12,14.94,16620000.000000002
0,0,aee,0,0,0,0,20300000000.0,31100000000.0,24.01,21.83,2.9,3.52,2.39,5.38,12.12,15.37,24.89,2.91,10.17,5530000000.0,22.42,-1.6,2740000000.0,2450000000.0,850000000.0,3.42,0.8,6000000.0,0.02,10800000000.0,125.14,0.75,34.34,1830000000.0,-829250000.0,0.28,81.92,77.32,1130000.0,247210000.0,245800000.0,0.44,77.07,4500000.0,4.51,2.09,4330000.0
0,0,aeo,0,0,0,0,2470000000.0,3690000000.0,7.1,10.29,,0.65,2.48,0.97,24.07,-4.86,-0.42,-0.29,-16.65,3820000000.0,22.88,-15.1,1520000000.0,153450000.0,-185390000.0,-1.12,,898790000.0,5.41,2120000000.0,212.34,1.88,6.01,261399999.99999997,23610000.0,1.25,14.84,12.12,6350000.0,166110000.0,137630000.0,7.0,122.53,30310000.0,5.54,23.09,33880000.0
0,0,aep,0,0,0,0,44610000000.0,77380000000.0,23.28,19.34,2.83,2.99,2.19,5.19,13.18,12.85,20.02,2.45,9.41,14920000000.0,30.14,-5.8,6500000000.0,5400000000.0,1920000000.0,3.86,2.1,618700000.0,1.25,33390000000.0,161.82,0.48,41.03,3840000000.0,-2780000000.0,0.29,89.43,83.91,2640000.0,496390000.0,495870000.0,0.01,77.1,7870000.0,2.82,1.59,8369999.999999999
0,0,aes,0,0,0,0,13880000000.0,33340000000.000004,69.64,13.74,1.98,1.46,6.93,3.5,15.94,-3.67,22.69,3.99,-7.77,9530000000.0,14.32,-3.0,2350000000.0,3240000000.0,-353000000.0,-0.53,,1890000000.0,2.84,21350000000.0,516.48,1.02,3.01,2710000000.0,518000000.0,0.88,19.87,16.44,5050000.0,665130000.0,662400000.0,0.3,102.85,12820000.0,2.46,2.58,10050000.0
0,0,aet,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,afl,0,0,0,0,28320000000.0,30580000000.0,6.33,8.56,,1.35,0.87,1.41,,21.1,19.4,1.68,14.88,21840000000.0,30.25,2.3,7760000000.0,4269999999.9999995,4610000000.0,6.36,216.1,6390000000.0,9.1,9320000000.0,28.69,0.62,46.16,5790000000.0,1950000000.0,0.81,37.67,36.69,3830000.0,702440000.0,649910000.0,8.7,61.65,8590000.0,2.63,1.24,9530000.0
0,0,agn,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,aig,0,0,0,0,32150000000.0,67680000000.00001,6.04,8.29,0.44,0.71,0.51,1.46,,-10.87,10.22,0.53,-7.57,45650000000.0,52.37,-22.1,15380000000.0,9060000000.0,-5040000000.0,-5.72,-56.1,23630000000.0,27.42,38240000000.0,59.18,0.75,73.86,2089999999.9999998,8170000000.0,1.3,31.89,30.55,6850000.0,861530000.0,860570000.0,0.05,92.01,12230000.0,1.93,1.42,16920000.0
0,0,aiv,0,0,0,0,4630000000.0,8810000000.0,30.18,714.29,839.32,5.2,2.18,9.91,11.88,17.36,13.36,1.09,8.28,889690000.0,5.99,-6.3,603880000.0,512400000.0,154180000.0,1.03,,228370000.0,1.53,4410000000.0,198.45,0.42,14.25,361600000.0,35490000.0,0.79,32.73,35.88,1700000.0,148870000.0,147450000.0,0.9,121.75,3500000.0,2.15,2.84,3060000.0
0,0,aiz,0,0,0,0,7690000000.0,7500000000.0,19.41,12.5,,0.79,1.3,0.74,,4.26,7.94,1.15,7.44,10110000000.0,166.85,5.2,934300000.0,946400000.0,411500000.0,6.75,,2450000000.0,41.75,2009999999.9999998,33.81,0.59,100.44,1150000000.0,1220000000.0,0.64,126.02,114.13,58760000.0,58760000.0,58180000.0,0.87,98.14,1790000.0,5.83,3.49,1850000.0
0,0,akam,0,0,0,0,16530000000.000002,17790000000.0,29.77,18.12,1.53,5.35,4.02,5.7,15.45,18.01,21.84,6.15,14.79,3120000000.0,19.26,11.7,1910000000.0,987330000.0,562780000.0,3.41,15.0,1440000000.0,8.87,2710000000.0,65.94,3.13,25.23,1210000000.0,350880000.0,0.47,105.26,106.59,1640000.0,162700000.0,159160000.0,2.12,93.42,10100000.0,5.89,7.09,10290000.0
0,0,all,0,0,0,0,29410000000.0,37640000000.0,6.82,7.94,1.99,0.7,1.16,0.85,,10.68,16.88,3.83,17.7,44250000000.0,140.16,3.9,12490000000.0,8140000000.000001,4570000000.0,14.28,23.8,4930000000.0,16.21,6630000000.0,24.34,0.47,83.2,5410000000.0,6490000000.0,0.74,92.53,94.54,1970000.0,304070000.0,302400000.0,0.43,80.69,4010000.0,2.11,1.32,9600000.0
0,0,altr,0,0,0,0,3610000000.0,3620000000.0,,312.5,,7.75,10.02,7.85,106.83,-3.08,1.42,0.55,-4.04,460360000.0,6.32,6.0,326320000.0,29140000.0,-14200000.0,-0.2,,245360000.0,3.33,250830000.0,69.78,2.41,4.89,28770000.0,45810000.0,1.45,46.03,40.7,43240000.0,43240000.0,38050000.0,1.88,96.67,4350000.0,19.16,10.11,4450000.0
0,0,alxn,0,0,0,0,27960000000.0,28430000000.0,29.85,10.38,0.81,4.84,2.52,4.85,27.76,16.32,47.42,10.74,8.92,5860000000.0,26.57,25.8,4600000000.0,3100000000.0,956600000.0,4.31,23.6,2300000000.0,10.5,2970000000.0,26.82,3.81,50.57,2680000000.0,1790000000.0,1.31,121.21,111.62,2049999.9999999998,218840000.0,218230000.0,0.23,93.55,4230000.0,1.83,2.01,5590000.0
0,0,amat,0,0,0,0,66500000000.0,66209999999.99999,18.57,15.82,1.2,3.91,6.29,3.85,13.84,21.04,25.51,13.26,38.52,17200000000.0,18.78,24.9,7710000000.0,4760000000.0,3620000000.0,3.92,62.0,5740000000.0,6.28,5450000000.0,51.5,3.0,11.57,3800000000.0,2420000000.0,1.28,63.89,60.76,8080000.0,913280000.0,909930000.0,0.38,83.22,14030000.0,2.14,1.54,14560000.0
0,0,amd,0,0,0,0,98430000000.0,97240000000.0,110.59,46.73,1.03,11.32,25.45,11.25,73.89,10.17,13.27,11.68,29.09,8650000000.0,7.41,55.5,2870000000.0,1430000000.0,879000000.0,0.74,225.0,1770000000.0,1.47,578000000.0,14.95,2.28,3.22,959000000.0,579880000.0,2.33,81.85,70.01,51960000.0,1200000000.0,1190000000.0,0.62,73.88,47110000.0,0.88,3.94,28290000.0
0,0,amgn,0,0,0,0,138180000000.0,160110000000.0,19.13,13.99,1.56,5.64,12.61,6.41,12.4,29.42,37.57,9.45,67.18,24990000000.0,42.4,12.0,19010000000.0,12650000000.0,7350000000.0,12.4,2.7,12360000000.0,21.23,34290000000.0,312.87,2.28,18.78,10860000000.0,9220000000.0,0.81,235.39,239.19,2820000.0,582170000.0,580850000.0,0.19,78.07,7110000.0,2.61,1.22,6130000.0
0,0,amp,0,0,0,0,21810000000.0,19080000000.0,12.97,10.03,2.57,1.99,3.6,1.61,,15.33,24.34,1.17,30.17,11870000000.0,94.34,-10.1,6330000000.0,3090000000.0,1820000000.0,14.25,,9680000000.0,82.07,5870000000.0,96.72,2.35,51.14,5410000000.0,2500000000.0,1.78,168.55,153.48,117980000.0,117980000.0,117500000.0,0.2,87.16,2490000.0,4.13,2.39,2660000.0
0,0,amt,0,0,0,0,107980000000.0,138050000000.0,57.47,43.29,2.23,13.82,28.94,17.6,30.55,24.08,38.83,4.71,34.18,7840000000.0,17.69,3.0,5360000000.0,4900000000.0,1890000000.0,4.23,-6.9,1630000000.0,3.66,31690000000.0,668.09,0.87,8.4,3740000000.0,3330000000.0,0.3,239.16,249.06,1830000.0,444210000.0,442510000.0,0.27,93.05,3380000.0,1.85,0.88,2310000.0
0,0,amzn,0,0,0,0,972910000000.0,981090000000.0,91.49,59.17,1.21,4.57,18.97,4.55,34.45,4.99,5.72,5.17,24.95,347950000000.0,696.93,37.4,114990000000.0,43710000000.0,17380000000.0,34.2,196.7,68400000000.00001,136.33,96810000000.0,116.96,1.11,164.89,55290000000.0,33670000000.0,1.3,3197.67,2976.35,5200000.0,500890000.0,427520000.0,14.6,58.74,3140000.0,0.6,0.74,2750000.0
0,0,an,0,0,0,0,5240000000.0,9590000000.0,13.78,8.99,0.75,0.26,1.56,0.48,10.28,1.92,4.32,5.44,12.21,20150000000.0,226.13,-1.0,3520000000.0,1060000000.0,388000000.0,4.34,83.5,350500000.0,3.99,4700000000.0,140.06,0.99,38.22,1270000000.0,1620000000.0,1.64,59.8,50.18,87860000.0,87860000.0,59060000.0,11.84,89.5,3270000.0,3.49,5.73,3850000.0
